;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20
британский;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
полиция;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
знать;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
местонахождение;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
основатель;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
wikileaks;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
суд;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
сша;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
начинаться;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
процесс;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
против;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
россиянин;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
рассылать;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
спам;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
церемония;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
вручение;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
нобелевский;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
премия;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
мир;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
бойкотировать;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
страна;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
великобритания;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
арестовывать;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
сайт;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
джулиан;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ассандж;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
украина;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
игнорировать;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
шведский;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
отказываться;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
